Model,Scenario,Region,Sector,Unit,Year,Value,Value baseline,Value_diff,Direct Emissions Costs,Direct baseline,Direct Emission Costs diff,Indirect Emission Costs,Ind baseline,Indirect Emissions Costs diff
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2020,118.6948,118.6948,0,14233993370.6,14233993370.6,0,1812462338220,1812462338220,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2030,137.5115,137.5115,0,16454109700,16454109700,0,2337606930280,2337606930280,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2040,157.7641,157.7641,0,25481672248,25481672248,0,2702638960720,2702638960720,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2050,172.067,172.067,0,36906722040,36906722040,0,3456020841820,3456020841820,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2060,180.5953,180.5953,0,50722202917,50722202917,0,4186703046770,4186703046770,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2070,178.7431,178.7431,0,64493885648,64493885648,0,4367503969800,4367503969800,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2080,191.073,191.073,0,86630398140,86630398140,0,5177771794540,5177771794540,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2090,186.6324,186.6324,0,107127689357,107127689357,0,4763405253740,4763405253740,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Transportation,EJ/yr,2100,201.5511,201.5511,0,138229571937,138229571937,0,5823650931500,5823650931500,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2020,138.524,138.524,0,5490000213.63,5490000213.63,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2030,165.9401,165.9401,0,6490887718,6490887718,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2040,199.6712,199.6712,0,10663561982.4,10663561982.4,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2050,226.6979,226.6979,0,15567041670,15567041670,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2060,251.388,251.388,0,20475408391.2,20475408391.2,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2070,276.0094,276.0094,0,26329194637.2,26329194637.2,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2080,303.8516,303.8516,0,33479803427.4,33479803427.4,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2090,328.7098,328.7098,0,42834293028.8,42834293028.8,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,ResidentialCommercial,EJ/yr,2100,349.9746,349.9746,0,54546283761.5,54546283761.5,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Industry,EJ/yr,2020,181.7127,181.7127,0,6464500188.78562,6464500188.78562,0,2240095324410,2240095324410,0
REMIND-MAgPIE 1.7-3.0,Current Policies,World,Industry,EJ/yr,2030,217.3907,217.3907,0,6753669952.16932,6753669952.16932,0,2899744271670,2899744271670,0
