Sector,Model,Region,Year,oneValue,twoValue,Elasticity,Label
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,228.9913941589,147.9478657726,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,306.5610894474,232.8819144047,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,395.796794729,339.2492659833,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,552.8275830315,443.5533033691,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,674.0063628153,512.4689935758,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,961.5151663446,768.4110606116,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,1135.1604251086,870.2843133505,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,1232.1694674059,966.7871722326,0,high inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,114.4956970795,73.9739328863,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,153.2805447237,116.4409572024,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,197.8983973645,169.6246329917,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,276.4137915158,221.7766516846,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,337.0031814076,256.2344967879,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,480.7575831723,384.2055303058,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,567.5802125543,435.1421566753,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,616.084733703,483.3935861163,1,low inelastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,0,0,2,unit elasticity
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,-114.4956970795,-73.9739328863,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,-153.2805447237,-116.4409572024,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,-197.8983973645,-169.6246329917,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,-276.4137915158,-221.7766516846,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,-337.0031814076,-256.2344967879,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,-480.7575831723,-384.2055303058,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,-567.5802125543,-435.1421566753,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,-616.084733703,-483.3935861163,3,low elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,-228.9913941589,-147.9478657726,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,-306.5610894474,-232.8819144047,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,-395.796794729,-339.2492659833,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,-552.8275830315,-443.5533033691,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,-674.0063628153,-512.4689935758,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,-961.5151663446,-768.4110606116,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,-1135.1604251086,-870.2843133505,4,high elastic
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,-1232.1694674059,-966.7871722326,4,high elastic
